"id","signup_date","loyalty","location","gender","age","favorite_movie_line","number_of_purchases","value_of_purchases","total_standard_points","total_points_redeemed","first_order_date","last_order_date","time_between_purchases","average_order_value","time_to_first_purchase"
1,"2012-01-01","enrolled","LA",NA,"oldish",NA,3,12934,1280,0,"2013-02-12","2013-07-29",191.333333333333,4311.33333333333,408
2,"2012-01-01","enrolled",NA,NA,"youthful",NA,4,10041,990,0,"2012-01-29","2013-12-19",179.5,2510.25,28
3,"2012-01-01","control",NA,NA,"wise","Say ""hello"" to my little friend!",5,4052,0,0,"2012-04-06","2013-12-14",142.6,810.4,95
4,"2012-01-01","enrolled",NA,"C","young",NA,9,20979,2060,0,"2012-04-14","2013-11-24",77,2331,103
5,"2012-01-01","enrolled","LA","A","youthful","Hello, gorgeous.",45,107964,10500,10000,"2012-01-20","2013-12-18",15.9333333333333,2399.2,19
6,"2012-01-01","enrolled",NA,"D",NA,"Open the pod bay doors, HAL.",111,298907,29120,25000,"2012-01-03","2013-12-28",6.54954954954955,2692.85585585586,2
7,"2012-01-01","control","NY",NA,NA,"It's alive!  It's alive!",14,16532,0,0,"2012-01-04","2013-06-13",37.7142857142857,1180.85714285714,3
8,"2012-01-01","control",NA,"B",NA,NA,3,6389,0,0,"2012-12-12","2013-09-25",210.666666666667,2129.66666666667,346
9,"2012-01-01","control",NA,"A","young",NA,3,5557,0,0,"2013-05-30","2013-11-22",230.333333333333,1852.33333333333,514
10,"2012-01-01","enrolled","SF",NA,NA,NA,3,5964,580,0,"2012-02-02","2013-11-22",230.333333333333,1988,32
11,"2012-01-01","enrolled","LA",NA,NA,"It's alive!  It's alive!",9,46472,4610,0,"2012-06-20","2013-11-29",77.5555555555556,5163.55555555556,170
12,"2012-01-01","enrolled",NA,"B",NA,"Here's Johnny!",7,17481,1700,0,"2012-01-31","2013-12-15",102,2497.28571428571,30
13,"2012-01-01","control",NA,"D","youthful",NA,113,568754,0,0,"2012-01-05","2013-12-27",6.42477876106195,5033.22123893805,4
14,"2012-01-01","enrolled",NA,NA,"youthful","What we've got here is failure to communicate.",10,52231,5180,0,"2012-01-30","2013-10-14",65.1,5223.1,29
15,"2012-01-01","control","NY",NA,NA,NA,4,6198,0,0,"2012-07-12","2013-07-03",137,1549.5,192
16,"2012-01-01","enrolled",NA,"A","oldish","A martini.  Shaken, not stirred.",11,18599,1800,0,"2012-03-23","2013-11-27",63.2727272727273,1690.81818181818,81
17,"2012-01-01","control","LA","C",NA,"Tell 'em to go out there with all they got and win just one for the Gipper.",31,44448,0,0,"2012-01-01","2013-11-20",22.2258064516129,1433.8064516129,0
18,"2012-01-01","control",NA,"C","youthful",NA,6,18679,0,0,"2012-03-12","2013-12-10",118.166666666667,3113.16666666667,70
19,"2012-01-01","control","SF",NA,"wise",NA,0,0,0,0,NA,NA,NA,NA,NA
20,"2012-01-01","control",NA,"C","young","Made it, Ma! Top of the world!",3,3939,0,0,"2012-05-21","2013-05-02",162,1313,140
21,"2012-01-01","enrolled",NA,NA,"youthful",NA,3,16515,1640,0,"2012-02-24","2013-07-05",183.333333333333,5505,54
22,"2012-01-01","control",NA,"C","oldish","They call me Mister Tibbs!",5,15763,0,0,"2012-05-03","2013-12-10",141.8,3152.6,122
23,"2012-01-01","enrolled","NY","C",NA,NA,3,3729,360,0,"2012-02-09","2013-03-18",147,1243,39
24,"2012-01-01","enrolled",NA,NA,NA,NA,6,14718,1440,0,"2012-03-06","2013-12-19",119.666666666667,2453,65
25,"2012-01-01","control","NY",NA,NA,"I'll be back.",2,2618,0,0,"2012-05-16","2012-07-29",104.5,1309,135
26,"2012-01-01","control",NA,"C",NA,NA,10,11411,0,0,"2012-01-16","2013-05-21",50.5,1141.1,15
27,"2012-01-01","control",NA,NA,NA,"Hello, gorgeous.",120,299874,0,0,"2012-01-02","2013-12-30",6.075,2498.95,1
28,"2012-01-01","enrolled",NA,NA,NA,NA,3,4663,450,0,"2012-07-06","2013-06-17",177.333333333333,1554.33333333333,186
29,"2012-01-01","enrolled","NY",NA,"wise","E.T. phone home.",1,714,70,0,"2012-06-06","2012-06-06",156,714,156
30,"2012-01-01","control","LA",NA,NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
31,"2012-01-01","control","LA","B",NA,"I'll have what she's having.",4,30958,0,0,"2012-04-18","2013-09-13",155,7739.5,107
32,"2012-01-01","enrolled",NA,NA,"oldish",NA,9,24147,2370,0,"2012-03-01","2013-09-16",69.2222222222222,2683,60
33,"2012-01-02","control","LA","D","youthful",NA,8,103551,0,0,"2012-03-17","2013-08-02",72.125,12943.875,74
34,"2012-01-02","enrolled",NA,NA,NA,NA,10,28305,2770,0,"2012-04-01","2013-12-17",71.5,2830.5,89
35,"2012-01-02","control",NA,"A",NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
36,"2012-01-02","enrolled","LA",NA,NA,NA,5,5752,560,0,"2012-02-20","2013-11-13",136.2,1150.4,49
37,"2012-01-02","control",NA,"D",NA,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",6,45275,0,0,"2012-04-24","2013-04-28",80.1666666666667,7545.83333333333,112
38,"2012-01-02","control","SF","B","wise","There's no crying in baseball!",1,453,0,0,"2012-07-05","2012-07-05",184,453,184
39,"2012-01-02","enrolled","SF","B",NA,NA,4,2517,220,0,"2012-02-10","2013-10-19",163.75,629.25,39
40,"2012-01-02","enrolled",NA,"B","oldish",NA,9,31035,3070,0,"2012-02-24","2013-07-10",61.5555555555556,3448.33333333333,53
41,"2012-01-02","enrolled",NA,"A",NA,NA,11,9374,880,0,"2012-01-03","2013-12-10",64.3636363636364,852.181818181818,1
42,"2012-01-02","control","NY","A",NA,NA,15,32753,0,0,"2012-03-18","2013-12-25",48.2,2183.53333333333,75
43,"2012-01-02","control",NA,NA,NA,NA,13,14758,0,0,"2012-01-12","2013-12-12",54.6153846153846,1135.23076923077,10
44,"2012-01-02","enrolled","SF","B",NA,"Hello, gorgeous.",3,5960,580,0,"2012-04-06","2013-11-10",226,1986.66666666667,94
45,"2012-01-02","enrolled","NY","A",NA,"There's no place like home. ",11,18402,1780,0,"2012-05-23","2013-12-08",64.1818181818182,1672.90909090909,141
46,"2012-01-02","enrolled","LA","D",NA,"I'm as mad as hell, and I'm not going to take this anymore!",22,39569,3840,0,"2012-02-05","2013-12-26",32.9090909090909,1798.59090909091,34
47,"2012-01-02","enrolled","LA","B","young",NA,3,3624,350,0,"2012-06-29","2013-11-15",227.666666666667,1208,178
48,"2012-01-02","enrolled","LA",NA,NA,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",16,37747,3710,0,"2012-01-03","2013-09-21",39.1875,2359.1875,1
49,"2012-01-02","control",NA,"A",NA,NA,9,30782,0,0,"2012-01-08","2013-10-26",73.5555555555556,3420.22222222222,6
50,"2012-01-02","control","NY",NA,"oldish","Frankly, my dear, I don't give a damn.",60,296705,0,0,"2012-01-09","2013-12-25",12.05,4945.08333333333,7
51,"2012-01-02","control","LA","B","wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
52,"2012-01-02","enrolled",NA,NA,"young",NA,5,9732,950,0,"2012-02-23","2013-06-21",107,1946.4,52
53,"2012-01-02","control",NA,"D","youthful","Fasten your seatbelts. It's going to be a bumpy night.",6,47918,0,0,"2012-03-29","2013-04-13",77.6666666666667,7986.33333333333,86
54,"2012-01-02","control",NA,NA,NA,NA,4,8754,0,0,"2012-12-22","2013-10-01",159.25,2188.5,355
55,"2012-01-02","enrolled","LA","C","youthful",NA,134,639996,62800,55000,"2012-01-08","2013-12-25",5.3955223880597,4776.08955223881,6
56,"2012-01-02","enrolled","LA","D","youthful",NA,47,264019,25960,25000,"2012-02-19","2013-12-26",15.4042553191489,5617.42553191489,48
57,"2012-01-02","enrolled","SF","C","young",NA,6,8988,860,0,"2012-03-06","2013-01-26",65,1498,64
58,"2012-01-02","control","LA",NA,"oldish",NA,4,16806,0,0,"2012-06-27","2013-04-03",114,4201.5,176
59,"2012-01-02","control",NA,NA,"young",NA,3,2495,0,0,"2012-04-08","2013-11-03",223.333333333333,831.666666666667,96
60,"2012-01-02","control",NA,NA,NA,NA,11,32224,0,0,"2012-03-13","2013-10-26",60.1818181818182,2929.45454545455,70
61,"2012-01-02","control","LA","C","wise","Stella!  Hey, Stella!",4,5686,0,0,"2012-01-31","2013-02-27",105.5,1421.5,29
62,"2012-01-02","enrolled","LA",NA,"young",NA,5,4662,440,0,"2012-02-04","2013-05-05",97.6,932.4,33
63,"2012-01-02","enrolled",NA,NA,NA,"Frankly, my dear, I don't give a damn.",4,8875,860,0,"2013-04-17","2013-07-06",137.5,2218.75,470
